ID,Link,Name,Rating,Price,Cuisines
72,https://www.swiggy.com/restaurants/bhatti-chicken-grilled-not-fried-vv-puram-basavanagudi-bangalore-616234,"Bhatti Chicken - Grilled, NOT Fried!",5,250 for two,"North Indian, Snacks"
73,https://www.swiggy.com/restaurants/aahar-gandhi-nagar-majestic-bangalore-569800,Aahar,4.4,200 for two,"South Indian, Beverages"
74,https://www.swiggy.com/restaurants/bombay-kulfis-gandhi-bazaar-main-road-basavanagudi-bangalore-66424,Bombay Kulfis,4.6,100 for two,"North Indian, Desserts"
75,https://www.swiggy.com/restaurants/minus-30-infantry-road-shivajinagar-bangalore-420143,Minus 30,4.6,600 for two,"Ice Cream, Desserts"
76,https://www.swiggy.com/restaurants/big-mishra-pedha-3rd-phase-vijayanagar-bangalore-200916,Big Mishra Pedha,4.5,200 for two,"Sweets, Snacks"
77,https://www.swiggy.com/restaurants/krispy-kreme-2nd-stage-banashankari-bangalore-365932,Krispy Kreme,4.6,170 for two,"Desserts, Beverages"
78,https://www.swiggy.com/restaurants/prasuma-momo-kitchen-1st-main-road-rajajinagar-bangalore-694084,Prasuma Momo Kitchen,4.4,400 for two,"Chinese, Asian"
79,https://www.swiggy.com/restaurants/fb-cakes-magadi-main-road-vijay-nagar-bangalore-700433,FB Cakes,4.4,1500 for two,Bakery
80,https://www.swiggy.com/restaurants/great-indian-khichdi-by-eatfit-cunnigham-road-vasanth-nagar-bangalore-440123,Great Indian Khichdi by EatFit,4.3,200 for two,"Home Food, Indian"
81,https://www.swiggy.com/restaurants/grameen-kulfi-bashyam-circle-rajajinagar-bangalore-352790,Grameen Kulfi,4.7,120 for two,"Ice Cream, Desserts"
82,https://www.swiggy.com/restaurants/faasos-wraps-and-rolls-rashtriya-vidyalaya-rd-jayanagar-bangalore-93497,Faasos - Wraps &amp; Rolls,4.2,200 for two,"Kebabs, Fast Food"
83,https://www.swiggy.com/restaurants/al-bek-6th-block-rajajinagar-bangalore-252618,Al-Bek,4,500 for two,"Arabian, Tandoor"
84,https://www.swiggy.com/restaurants/rnr-biryani-taste-of-1953-4th-block-jayanagar-bangalore-440897,RNR Biryani - Taste of 1953,4.3,350 for two,"Biryani, South Indian"
85,https://www.swiggy.com/restaurants/itc-aashirvaad-soul-creations-rajajinagar-industrial-town-rajaji-nagar-bangalore-577804,ITC Aashirvaad Soul Creations,4.3,500 for two,Indian
86,https://www.swiggy.com/restaurants/holige-mane-bashyam-circle-rajajinagar-bangalore-164061,Holige Mane,4.5,200 for two,Sweets
87,https://www.swiggy.com/restaurants/myfroyoland-premium-frozen-yogurt-4th-block-jayanagar-bangalore-510522,Myfroyoland - Premium Frozen Yogurt,4.6,400 for two,"Ice Cream, Desserts"
88,https://www.swiggy.com/restaurants/haagen-dazs-gopalapura-magadi-road-bangalore-464940,Haagen Dazs,4.5,800 for two,"Desserts, Beverages"
89,https://www.swiggy.com/restaurants/madno-house-of-sundaes-city-market-majestic-bangalore-439630,Madno - House of Sundaes,4.6,250 for two,"Desserts, Ice Cream"
90,https://www.swiggy.com/restaurants/bikaner-sweets-4th-t-block-jayanagar-bangalore-424609,Bikaner Sweets,4.1,99 for two,Sweets
91,https://www.swiggy.com/restaurants/bangarpet-chats-4th-block-ramamandira-rajajinagar-bangalore-206516,Bangarpet Chats,4.1,60 for two,Chaat
92,https://www.swiggy.com/restaurants/cakewala-4th-block-jayanagar-bangalore-29071,Cakewala,4.4,400 for two,Desserts
