Id,Link
124,https://www.swiggy.com/restaurants/pizza-hut-lulu-india-shopping-mal-magadi-road-bangalore-426713
125,https://www.swiggy.com/restaurants/fresh-pressery-cafe-ashok-nagar-lavelle-road-bangalore-9911
126,https://www.swiggy.com/restaurants/salt-indian-restaurant-bar-and-grill-whitefield-central-bangalore-bangalore-484939
127,https://www.swiggy.com/restaurants/goodness-to-go-lavelle-road-bangalore-604781
128,https://www.swiggy.com/restaurants/sri-durga-chats-and-icecream-parlour-vijayanagar-since-1996-sbi-staff-colony-vijayanagar-bangalore-67964
129,https://www.swiggy.com/restaurants/all-saints-bakery-brigade-road-ashok-nagar-bangalore-15870
130,https://www.swiggy.com/restaurants/indraprastha-vegetarian-mc-layout-vijayanagar-bangalore-48677
131,https://www.swiggy.com/restaurants/smoke-house-deli-ashok-nagar-lavelle-road-bangalore-10238
132,https://www.swiggy.com/restaurants/restaurant-chef-pillai-ashok-nagar-central-bangalore-bangalore-739040
133,https://www.swiggy.com/restaurants/amadora-gourmet-ice-cream-u-b-city-vittal-mallaya-bangalore-737841
134,https://www.swiggy.com/restaurants/cafe-noir-vittal-mallya-road-bangalore-53605
135,https://www.swiggy.com/restaurants/biryanis-and-more-jayanagar-bangalore-29002
136,https://www.swiggy.com/restaurants/boss-burger-ashok-nagar-lavelle-road-bangalore-234701
137,https://www.swiggy.com/restaurants/glens-bakehouse-lavelle-road-ashok-nagar-bangalore-17376
138,https://www.swiggy.com/restaurants/taste-of-tibet-brigade-road-bangalore-410844
139,https://www.swiggy.com/restaurants/the-doner-company-shawarmas-and-more-shanthinagara-central-bangalore-bangalore-697850
140,https://www.swiggy.com/restaurants/misu-palace-road-seshadripuram-bangalore-241420
141,https://www.swiggy.com/restaurants/taiki-3rd-block-jayanagar-bangalore-337997
142,https://www.swiggy.com/restaurants/fanoos-johnson-market-richmond-road-bangalore-2824
143,https://www.swiggy.com/restaurants/lakeview-milkbar-mg-road-bangalore-2832
144,https://www.swiggy.com/restaurants/qmin-cafe-rajajinagar-basaveshwaranagar-bangalore-690935
145,https://www.swiggy.com/restaurants/gochick-brigade-road-central-bangalore-bangalore-742282
146,https://www.swiggy.com/restaurants/taco-bell-vatal-nagaraj-road-magadi-road-bangalore-442110
147,https://www.swiggy.com/restaurants/shawarma-on-wheels-cafe-coffee-day-banashankari-bangalore-661004
148,https://www.swiggy.com/restaurants/tadka-singh-magrath-road-church-street-bangalore-2843
149,https://www.swiggy.com/restaurants/the-fatty-bao-lavelle-road-bangalore-289970
150,https://www.swiggy.com/restaurants/tandoori-taal-prestige-trade-tower-ashok-nagar-bangalore-290399
151,https://www.swiggy.com/restaurants/burger-seigneur-st-marks-road-bangalore-354531
152,https://www.swiggy.com/restaurants/namaste-sampige-road-malleshwaram-bangalore-639122
153,https://www.swiggy.com/restaurants/brik-oven-high-grounds-bangalore-245536
154,https://www.swiggy.com/restaurants/paris-panini-gourmet-sandwiches-and-wraps-church-street-central-bangalore-bangalore-667962
155,https://www.swiggy.com/restaurants/itc-master-chef-creations-industrial-town-rajaji-nagar-bangalore-409528
156,https://www.swiggy.com/restaurants/art-of-delight-ice-creams-sundaes-and-desserts-residency-road-ashok-nagar-bangalore-2811
157,https://www.swiggy.com/restaurants/the-pizza-bakery-church-street-ashok-nagar-bangalore-342643
158,https://www.swiggy.com/restaurants/daily-sushi-shanthala-nagar-ashok-nagar-bangalore-600456
159,https://www.swiggy.com/restaurants/sri-udupi-park-galaxy-mall-residency-road-bangalore-4046
160,https://www.swiggy.com/restaurants/living-bowls-7th-phase-brigade-road-bangalore-557322
161,https://www.swiggy.com/restaurants/truffles-st-marks-road-bangalore-3369
162,https://www.swiggy.com/restaurants/chai-galli-2nd-phase-church-street-bangalore-644151
163,https://www.swiggy.com/restaurants/smoor-ashok-nagar-lavelle-road-bangalore-588012
164,https://www.swiggy.com/restaurants/samosa-singh-magrath-rd-central-bangalore-bangalore-679869
165,https://www.swiggy.com/restaurants/blue-tokai-coffee-roasters-infantry-road-shivaji-nagar-bangalore-187384
166,https://www.swiggy.com/restaurants/pasta-street-cunningham-road-bangalore-19361
167,https://www.swiggy.com/restaurants/amore-gelato-italian-ice-cream-shanthala-nagar-central-bangalore-bangalore-672534
168,https://www.swiggy.com/restaurants/paratha-box-desi-punjabi-meals-ali-asker-road-vasanth-nagar-bangalore-396192
169,https://www.swiggy.com/restaurants/foo-brigade-road-brigade-road-prestige-forum-rex-bangalore-642747
